 ,Area,Mean,Min,Max
466,2,255,255,255
467,2,255,255,255
468,1,255,255,255
469,33,255,255,255
470,1,255,255,255
471,28,255,255,255
472,5,255,255,255
473,1,255,255,255
474,6,255,255,255
475,8,255,255,255
476,2,255,255,255
477,19,255,255,255
478,6,255,255,255
479,105,255,255,255
480,1,255,255,255
481,8,255,255,255
482,2,255,255,255
483,3,255,255,255
484,1,255,255,255
485,16,255,255,255
486,4,255,255,255
487,1,255,255,255
488,1,255,255,255
489,2,255,255,255
490,2,255,255,255
491,15,255,255,255
492,1,255,255,255
493,14,255,255,255
494,95,255,255,255
495,13,255,255,255
496,4,255,255,255
497,4,255,255,255
498,1,255,255,255
499,3,255,255,255
500,3,255,255,255
501,2,255,255,255
502,3,255,255,255
503,8,255,255,255
504,1,255,255,255
505,1,255,255,255
506,1,255,255,255
507,1,255,255,255
508,1,255,255,255
509,1,255,255,255
510,4,255,255,255
511,3,255,255,255
512,1,255,255,255
513,3,255,255,255
514,2,255,255,255
515,6,255,255,255
516,7,255,255,255
517,1,255,255,255
518,1,255,255,255
519,3,255,255,255
520,1,255,255,255
521,1,255,255,255
522,2,255,255,255
523,35,255,255,255
524,16,255,255,255
525,22,255,255,255
526,10,255,255,255
527,2,255,255,255
528,1,255,255,255
529,2,255,255,255
530,23,255,255,255
531,3,255,255,255
532,3,255,255,255
533,2,255,255,255
534,4,255,255,255
535,2,255,255,255
536,2,255,255,255
537,26,255,255,255
538,33,255,255,255
539,1,255,255,255
540,1,255,255,255
541,19,255,255,255
542,11,255,255,255
543,3,255,255,255
544,1,255,255,255
545,4,255,255,255
546,74,255,255,255
547,2,255,255,255
548,19,255,255,255
549,3,255,255,255
550,1,255,255,255
551,4,255,255,255
552,20,255,255,255
553,4,255,255,255
554,20,255,255,255
555,1,255,255,255
556,1,255,255,255
557,28,255,255,255
558,5,255,255,255
559,3,255,255,255
560,2,255,255,255
561,151,255,255,255
562,22,255,255,255
563,1,255,255,255
564,1,255,255,255
565,18,255,255,255
566,2,255,255,255
567,4,255,255,255
568,1,255,255,255
569,2,255,255,255
570,3,255,255,255
571,1,255,255,255
572,178,255,255,255
573,2,255,255,255
574,15,255,255,255
575,1,255,255,255
576,3,255,255,255
577,2,255,255,255
578,4,255,255,255
579,4,255,255,255
580,2,255,255,255
581,3,255,255,255
582,4,255,255,255
583,1,255,255,255
584,1,255,255,255
585,1,255,255,255
586,1,255,255,255
587,1,255,255,255
588,5,255,255,255
589,2,255,255,255
590,3,255,255,255
591,9,255,255,255
592,5,255,255,255
593,41,255,255,255
594,1,255,255,255
595,12,255,255,255
596,9,255,255,255
597,12,255,255,255
598,2,255,255,255
599,10,255,255,255
600,5,255,255,255
601,2,255,255,255
602,1,255,255,255
603,4,255,255,255
604,2,255,255,255
605,1,255,255,255
606,1,255,255,255
607,11,255,255,255
608,1,255,255,255
609,5,255,255,255
610,1,255,255,255
611,1,255,255,255
612,1,255,255,255
613,2,255,255,255
614,5,255,255,255
615,8,255,255,255
616,2,255,255,255
617,3,255,255,255
618,66,255,255,255
619,12,255,255,255
620,3,255,255,255
621,3,255,255,255
622,2,255,255,255
623,1,255,255,255
624,2,255,255,255
625,3,255,255,255
626,1,255,255,255
627,17,255,255,255
628,60,255,255,255
629,1,255,255,255
630,10,255,255,255
631,6,255,255,255
632,9,255,255,255
633,2,255,255,255
634,4,255,255,255
635,13,255,255,255
636,3,255,255,255
637,401,255,255,255
638,3,255,255,255
639,27,255,255,255
640,11,255,255,255
641,10,255,255,255
642,54,255,255,255
643,5,255,255,255
644,1,255,255,255
645,3,255,255,255
646,1,255,255,255
647,131,255,255,255
648,10,255,255,255
649,4,255,255,255
650,1,255,255,255
651,5,255,255,255
652,4,255,255,255
653,8,255,255,255
654,1,255,255,255
655,14,255,255,255
656,28,255,255,255
657,2,255,255,255
658,2,255,255,255
659,6,255,255,255
660,1,255,255,255
661,2,255,255,255
662,19,255,255,255
663,2,255,255,255
664,3,255,255,255
665,32,255,255,255
666,6,255,255,255
667,14,255,255,255
668,1,255,255,255
669,1,255,255,255
670,1,255,255,255
671,1,255,255,255
672,1,255,255,255
673,1,255,255,255
674,2,255,255,255
675,7,255,255,255
676,1,255,255,255
677,49,255,255,255
678,1,255,255,255
679,5,255,255,255
680,10,255,255,255
681,21,255,255,255
682,1,255,255,255
683,9,255,255,255
684,1,255,255,255
685,1,255,255,255
686,2,255,255,255
687,2,255,255,255
688,1,255,255,255
689,4,255,255,255
690,1,255,255,255
691,4,255,255,255
692,3,255,255,255
693,1,255,255,255
694,3,255,255,255
695,3,255,255,255
696,1,255,255,255
697,3,255,255,255
698,2,255,255,255
699,16,255,255,255
700,1,255,255,255
701,18,255,255,255
702,7,255,255,255
703,53,255,255,255
704,10,255,255,255
705,1,255,255,255
706,1,255,255,255
707,1,255,255,255
708,29,255,255,255
709,6,255,255,255
710,5,255,255,255
711,2,255,255,255
712,3,255,255,255
713,2,255,255,255
714,1,255,255,255
715,2,255,255,255
716,1,255,255,255
717,4,255,255,255
718,2,255,255,255
719,1,255,255,255
720,23,255,255,255
721,3,255,255,255
722,1,255,255,255
723,4,255,255,255
724,1,255,255,255
725,60,255,255,255
726,1,255,255,255
727,20,255,255,255
728,7,255,255,255
729,27,255,255,255
730,12,255,255,255
731,1,255,255,255
732,5,255,255,255
733,6,255,255,255
734,29,255,255,255
735,7,255,255,255
736,5,255,255,255
737,5,255,255,255
738,7,255,255,255
739,1,255,255,255
740,1,255,255,255
741,4,255,255,255
742,2,255,255,255
743,71,255,255,255
744,2,255,255,255
745,1,255,255,255
746,2,255,255,255
747,1,255,255,255
748,1,255,255,255
749,21,255,255,255
750,4,255,255,255
751,56,255,255,255
752,8,255,255,255
753,1,255,255,255
754,23,255,255,255
755,1,255,255,255
756,1,255,255,255
757,17,255,255,255
758,3,255,255,255
759,34,255,255,255
760,1,255,255,255
761,1,255,255,255
762,2,255,255,255
763,2,255,255,255
764,10,255,255,255
765,3,255,255,255
766,4,255,255,255
767,17,255,255,255
768,3,255,255,255
769,2,255,255,255
770,23,255,255,255
771,2,255,255,255
772,5,255,255,255
773,6,255,255,255
774,2,255,255,255
775,4,255,255,255
776,1,255,255,255
777,1,255,255,255
778,1,255,255,255
779,1,255,255,255
780,2,255,255,255
781,2,255,255,255
782,3,255,255,255
783,46,255,255,255
784,1,255,255,255
785,23,255,255,255
786,44,255,255,255
787,3,255,255,255
788,1,255,255,255
789,1,255,255,255
790,1,255,255,255
791,32,255,255,255
792,1,255,255,255
793,1,255,255,255
794,1,255,255,255
795,4,255,255,255
796,8,255,255,255
797,7,255,255,255
798,4,255,255,255
799,16,255,255,255
800,1,255,255,255
801,16,255,255,255
802,1,255,255,255
803,3,255,255,255
804,1,255,255,255
805,62,255,255,255
806,9,255,255,255
807,5,255,255,255
808,2,255,255,255
809,4,255,255,255
810,9,255,255,255
811,482,255,255,255
812,1,255,255,255
813,3,255,255,255
814,1,255,255,255
815,1,255,255,255
816,2,255,255,255
817,3,255,255,255
818,1,255,255,255
819,1,255,255,255
820,1,255,255,255
821,2,255,255,255
822,1,255,255,255
823,1,255,255,255
824,218,255,255,255
825,1,255,255,255
826,17,255,255,255
827,4,255,255,255
828,23,255,255,255
829,26,255,255,255
830,1,255,255,255
831,1,255,255,255
832,1,255,255,255
833,2,255,255,255
834,14,255,255,255
835,1,255,255,255
836,2,255,255,255
837,1,255,255,255
838,5,255,255,255
839,1,255,255,255
840,11,255,255,255
841,46,255,255,255
842,6,255,255,255
843,24,255,255,255
844,1,255,255,255
845,1,255,255,255
846,3,255,255,255
847,9,255,255,255
848,44,255,255,255
849,2,255,255,255
850,1,255,255,255
851,9,255,255,255
852,1,255,255,255
853,21,255,255,255
854,2,255,255,255
855,2,255,255,255
856,5,255,255,255
857,3,255,255,255
858,3,255,255,255
859,36,255,255,255
860,8,255,255,255
861,1,255,255,255
862,3,255,255,255
863,81,255,255,255
864,51,255,255,255
865,2,255,255,255
866,2,255,255,255
867,7,255,255,255
868,8,255,255,255
869,22,255,255,255
870,3,255,255,255
871,1,255,255,255
872,4,255,255,255
873,1,255,255,255
874,6,255,255,255
875,2,255,255,255
876,6,255,255,255
877,1,255,255,255
878,39,255,255,255
879,27,255,255,255
880,1,255,255,255
881,2,255,255,255
882,14,255,255,255
883,22,255,255,255
884,28,255,255,255
885,1,255,255,255
886,1,255,255,255
887,3,255,255,255
888,1,255,255,255
889,2,255,255,255
890,1,255,255,255
891,1,255,255,255
892,17,255,255,255
893,1,255,255,255
894,1,255,255,255
895,1,255,255,255
896,1,255,255,255
897,1,255,255,255
898,1,255,255,255
899,2,255,255,255
900,4,255,255,255
901,4,255,255,255
902,3,255,255,255
903,1,255,255,255
904,1,255,255,255
905,10,255,255,255
906,1,255,255,255
907,1,255,255,255
908,2,255,255,255
909,10,255,255,255
910,2,255,255,255
911,3,255,255,255
912,6,255,255,255
913,4,255,255,255
914,2,255,255,255
915,6,255,255,255
916,1,255,255,255
917,1,255,255,255
918,3,255,255,255
919,2,255,255,255
920,4,255,255,255
921,1,255,255,255
922,12,255,255,255
923,15,255,255,255
924,2,255,255,255
925,3,255,255,255
926,3,255,255,255
927,1,255,255,255
928,1,255,255,255
929,2,255,255,255
930,6,255,255,255
931,5,255,255,255
932,1,255,255,255
933,5,255,255,255
934,1,255,255,255
935,1,255,255,255
936,1,255,255,255
937,1,255,255,255
938,1,255,255,255
939,13,255,255,255
940,2,255,255,255
941,2,255,255,255
942,1,255,255,255
943,7,255,255,255
944,4,255,255,255
945,47,255,255,255
946,1,255,255,255
947,31,255,255,255
948,3,255,255,255
949,83,255,255,255
950,2,255,255,255
